,index,PNW
0,730,133239.5054649789
1,731,155890.80546497888
2,732,161860.20546497885
3,733,155751.30546497888
4,734,145303.80546497888
5,735,141500.20546497885
6,736,138665.10546497887
7,737,137166.40546497886
8,738,136954.70546497885
9,739,134750.60546497887
10,740,129782.5054649789
11,741,123186.10546497887
12,742,120061.70546497888
13,743,114206.50546497887
14,744,109343.80546497888
15,745,108985.10546497887
16,746,106952.52747482283
17,747,106880.9954724033
18,748,108086.33290161559
19,749,115880.24332996312
20,750,117880.26164980978
21,751,112761.44934338251
22,752,117849.99116848741
23,753,133782.89672716553
24,754,139423.6046060416
25,755,133971.2955346404
26,756,128608.3704064932
27,757,134692.04806255456
28,758,129620.33872666307
29,759,129476.36567744761
30,760,133039.58917307653
31,761,128633.42220762341
32,762,123990.3549759775
33,763,133247.97703042623
34,764,124187.81996457887
35,765,120659.11852419599
36,766,123009.54978332657
37,767,121774.20628888262
38,768,128383.88069237141
39,769,125914.30423442228
40,770,130721.68600118282
41,771,124893.88363309545
42,772,123110.40393471619
43,773,128486.40606361013
44,774,158936.93798139703
45,775,187949.35372490133
46,776,203320.59560152667
47,777,210846.5784050068
48,778,207054.58281311195
49,779,208209.09004684264
50,780,206068.80658562537
51,781,201912.7104596509
52,782,198889.47556232222
53,783,208226.32613715148
54,784,195853.79516189863
55,785,200370.86725519056
56,786,196064.8399744851
57,787,198216.35131784453
58,788,189249.08777790845
59,789,186849.0098015227
60,790,155668.7510451474
61,791,150246.21752650448
62,792,148887.29071978168
63,793,150439.66665526482
64,794,141955.08575234126
65,795,132731.58600704483
66,796,132188.09642186505
67,797,128603.25691155868
68,798,131480.46268589087
69,799,130540.53006208401
70,800,134389.48487640507
71,801,129209.82988130236
72,802,136314.06559061626
73,803,137581.11939083404
74,804,137461.36127919884
75,805,141573.5600686713
76,806,140768.9901985528
77,807,141641.0268002853
78,808,144918.75238357324
79,809,140958.2089073719
80,810,139063.50285654963
81,811,141566.2956281292
82,812,141535.8702471832
83,813,141525.82778118292
84,814,144114.35036515846
85,815,152371.5125664573
86,816,157753.66023253975
87,817,155597.91678520344
88,818,157108.81747093095
89,819,157895.5927650708
90,820,143165.92632627182
91,821,119834.87317894842
92,822,113539.92352105415
93,823,105319.93517072903
94,824,96674.89835023557
