,BPA_Load_sim,SDGE_Load_sim,SCE_Load_sim,PGEV_Load_sim,PGEB_Load_sim,Path8_sim,Path3_sim,Path14_sim,Path65_sim,Path66_sim,Path46_sim,Path61_sim,Path42_sim,Path24_sim,Path45_sim
0,8261.94353629,3089.65640666,14708.1197278,7532.93413474,5894.07759361,1687.83863431,-971.533096882,758.474712023,869.759168067,2467.70837426,4553.53200331,1591.96224381,-336.370544006,-44.6698046986,64.0622097174
1,8033.96388706,2990.45740125,13939.4331994,7388.70268891,5576.7156953,1392.65316642,339.340648189,523.137940115,850.369129137,2179.2329016,4349.55534312,1296.77677592,-382.52096,-32.5588693532,95.2681746362
2,7538.25486001,3057.44024645,14190.2812261,7103.68540306,5431.43864909,1226.79026343,-215.10800892,275.786941712,1345.03014498,1982.28626521,4050.39490965,1130.91387292,-167.689401004,-15.5417909584,100.192560391
3,7756.97770725,2889.45620445,13222.8479653,7343.07692848,5623.93375285,1231.65146925,374.743447957,497.273251352,910.934628252,1863.16753809,4014.72372203,1135.77507874,-173.12839112,-21.0190009492,62.7051673385
4,8018.71786551,2783.41685995,11402.0662166,6879.19801064,5416.95284397,1494.60388062,568.312403523,1055.96738829,-130.593460099,1536.31505409,4409.99205141,1398.72749011,-187.136035682,-52.5398151405,38.2066547431
5,7367.14146137,2867.01193823,12733.5558358,7397.63694286,5688.78449527,1328.08438841,127.960908111,534.258433947,1234.78780599,2371.26791728,1853.22539098,1232.20799791,-197.726191497,17.4911855854,263.564684969
6,8730.91805429,3179.62123371,13561.2873368,7998.22666732,6319.7226561,1315.3559538,327.86544958,732.026673781,113.571869464,1529.41593037,4665.37942111,1219.47956329,-364.944186258,-15.4158955775,120.855128364
7,8027.11122672,3102.09968933,13435.7426452,7763.65814159,6158.92880439,1828.75714599,-82.6960232293,421.779088548,918.097365209,1787.55320651,4083.63737001,1732.88075548,-211.070965134,-45.9861490487,110.772809002
8,9471.0847915,2952.68637514,13760.2335519,8036.43880413,6068.06752316,2006.02311094,-1028.08144465,451.298592079,721.102580111,1696.80408446,4448.25484225,1910.14672044,-341.790248428,-44.9982719101,56.864368442
9,8373.06060095,2787.24490655,12733.5269329,7302.16781872,6017.49645628,1218.16486758,-276.072623488,368.798218182,749.114774496,1741.07568669,4756.22812375,1122.28847708,-371.60434449,-38.165175893,22.2622447933
10,7780.52132498,2578.45417503,12866.6870277,7048.93089084,5150.65662769,985.346323975,-101.897729156,219.949440514,499.746639543,2445.94948913,4960.39715274,889.469933472,-196.066233011,-12.9997332301,104.976379839
11,5986.11225757,2357.95269156,11401.4654187,6447.86921302,5346.95030409,1407.70409125,2055.20673152,203.598660859,587.983127327,1848.58570294,4363.29639385,1311.82770075,-196.141387648,-36.4785119709,128.537680121
12,6271.54103578,3163.98561678,12569.1939769,6262.33805841,4808.25168812,1278.048859,1353.46072112,-788.971732296,2103.23968701,4473.36265806,4489.7118951,1182.1724685,-246.265631077,48.837333315,167.044827257
13,6511.57021365,2685.22936012,15618.4673301,8731.82373485,7325.66472004,1334.66043794,445.202845605,865.861551825,1356.49871013,4350.23542035,5627.98876324,1238.78404744,-223.448738467,51.3929370276,-101.466818294
14,6036.06207042,2976.18816566,15017.9873952,7118.93308647,6214.61255634,1378.78087406,-759.431494049,363.28022088,1529.57088354,4811.5128144,5801.09784125,1282.90448356,-267.376149556,36.0617979354,6.76549500555
15,7141.98938412,2757.85651599,13499.0648612,6773.22688231,6332.43769383,1385.43340485,-1003.35003595,548.70744204,1968.56657232,4312.52495366,4743.11112536,1289.55701435,-216.707517208,26.65396621,-174.100806275
16,7460.24335182,3230.83392636,15874.9351135,7496.0455098,6599.81023291,1411.89727962,-596.605768885,1214.04228165,1875.71877347,4425.04713279,5684.21594998,1316.02088911,-216.624929435,50.8632087015,-220.167094331
17,8089.12925998,2346.50834407,13624.1103149,8248.43942559,6780.45669459,1371.63053653,-1249.86220544,316.8909997,441.951138297,3903.67261946,5716.84181223,1275.75414603,-216.488439,43.6551901308,-10.9206047681
18,7840.43626772,2391.50425471,10454.4484634,6830.05447332,6041.21250522,1278.40463182,-657.598389323,-232.505132016,242.559914023,3497.38810601,4136.21172499,1182.52824132,-227.45561667,29.4196457627,-35.3055613705
19,7858.46358679,2649.48965474,11306.7366986,6836.7283811,5668.32421444,939.392290177,-711.292011595,596.344845702,968.55430285,2388.53798931,4846.92374212,843.515899673,-392.88077743,-13.2286798409,78.483153181
20,8061.757818,2967.58479569,12859.6499994,7207.9237403,5918.88603968,1018.75262127,-1463.15019289,311.911228666,619.251407811,2395.96038467,4092.90532924,922.876230767,-323.386892117,-44.8864757373,70.6427953863
21,8524.31594954,2961.02305544,12786.593916,7560.62920044,6325.3964218,1431.49959878,-802.077867167,82.1390627704,342.216289981,1742.34903086,4466.89328837,1335.62320828,-357.084458792,-18.9302299582,-26.835746776
22,8195.63198708,2833.06670894,12402.5458013,7303.6932314,6225.96764669,1408.93420498,-1014.90578968,325.152504584,734.706708726,2316.20470199,3851.08752425,1313.05781447,-397.13653268,-10.6621611928,83.7569721798
23,7798.50329067,2693.61558747,11915.1919513,7305.61469339,5743.59039899,1723.75446498,514.840646234,178.636248908,659.77931326,1989.00859754,4545.68920163,1627.87807447,-313.247997493,-28.7362158108,265.214025517
24,7172.98529447,2782.55748265,11685.9228117,7352.25161418,5853.76939685,929.405600527,772.158250815,63.5059495505,721.846679914,2617.18307425,4823.98862673,833.529210024,-215.927608423,-23.5347942969,120.530290712
25,6680.88691963,2682.48284166,10446.6615525,6326.28083232,5268.37898294,1032.78436503,-454.748883825,242.089246091,921.081817171,2943.02585196,5400.20349232,936.907974532,-226.646758115,-31.6268127883,41.7230741815
26,7259.25717024,2800.40445019,10771.243791,5961.84818157,5344.06292379,631.672207535,-266.543252352,553.192462333,485.232269112,2524.63186689,4951.51095583,535.795817032,-214.684317766,-7.79773968189,241.656168558
27,8222.06158002,2678.60669131,10867.0853378,6575.10308124,5471.52978314,791.905197569,130.459237359,420.938420725,1279.12373427,3155.82658785,5510.19662006,696.028807066,-207.803297886,-20.3313472573,27.8347556686
28,8652.46120606,2663.22278743,11560.8538868,6997.88328934,5315.58282858,1196.3315546,451.977510405,437.720433792,771.515554124,2444.61657814,5353.72868409,1100.4551641,-209.44579861,-43.1279700333,-10.5517227132
29,8047.15208907,3060.15435699,13244.0310781,7812.05496682,5575.07548655,1074.72770289,291.705052673,238.863870956,635.514099982,1974.49397521,4847.73955001,978.851312386,-348.029705265,-47.1710710682,-29.5788210134
30,8448.9412444,3031.00010584,12404.5035049,7214.93220716,5914.02596459,816.058933724,-428.220367454,210.332498442,631.943571279,2145.08792308,5110.7372061,720.182543221,-223.742982725,-47.8189439845,8.68742382124
31,7584.66987803,2926.09169637,13583.8473836,7285.24566581,5485.27294088,1397.23049497,-377.287542405,505.507950444,820.332835289,2514.09840564,4887.96441854,1301.35410447,-136.65996205,43.4421243547,122.124031489
32,6799.90934686,2535.15296304,11570.1310147,6980.93649319,5012.21017189,1466.82928615,224.761420168,656.642952897,1077.96406911,1783.17021783,4506.77718452,1370.95289565,-130.300600211,30.6819030867,123.228331652
33,7318.67377922,2625.07216866,11067.9822788,6771.69441134,5442.65881529,1245.6719988,447.249212684,344.898135062,747.036663038,3028.90190372,5511.96538536,1149.7956083,-250.887484564,18.3123822665,89.8564679273
34,6898.13218223,2515.52309455,11889.5549847,6660.25057504,5743.79419859,1265.58819728,1347.01217166,504.839718353,861.114408903,3123.07874154,5409.90474746,1169.71180677,-276.513185817,18.7061738325,36.7336089471
35,7433.62218939,2486.66064192,11945.1507366,7351.62985995,5608.66932572,1284.80673035,131.12088246,878.427125838,1522.97576854,2253.97089925,5851.18376612,1188.93033984,-193.393717088,12.563692449,-29.2924606737
36,7047.41164296,2686.78195005,12882.9654106,7488.49775386,5632.45502616,1700.00926263,-431.998061197,567.34650018,1044.34671414,1755.68141381,6158.25645042,1604.13287213,-299.924550522,45.4630449415,62.9977468125
37,7347.99427638,2724.08702233,13421.6735351,7873.15515849,5698.17320668,1878.74836893,-246.853365123,848.913793713,1082.32149084,1810.67275763,5431.13591318,1782.87197843,-249.397984451,24.5585332401,58.3292596132
38,6881.1161317,3002.61922842,14206.5707211,7593.19378133,5821.54400645,1462.56552216,1676.11944477,1209.37404113,1231.21836906,2465.93413875,5358.47353997,1366.68913166,-213.094688873,32.1321250373,-63.7424438338
39,6897.04041395,2703.28025406,11683.8397798,6451.44028585,4824.28686422,1276.74215572,1883.9394307,1084.56306814,836.608539963,1492.83089972,5174.62915544,1180.86576522,-183.727293744,22.3034526967,-86.2928142427
40,7095.50667729,2742.78806151,11731.0290364,6455.13230497,5216.68794605,1337.17892397,-400.942648935,666.51927018,834.721951172,1884.10601957,5184.32221154,1241.30253347,-195.649688551,9.77757713769,31.2300356589
41,7655.43140974,2950.57054837,13436.3889192,7651.76126828,6159.61015956,1435.24930303,381.722977042,579.570676968,954.908255089,2543.02810379,4413.60680592,1339.37291252,-293.863892656,20.4379505664,78.3332927618
42,7427.27474112,3201.65261328,13932.8456082,7560.87502696,6239.35850124,1528.20327574,289.558030244,715.180522978,995.164714027,2092.3911254,4346.72140109,1432.32688524,-323.719160267,31.5486360273,76.7037225414
43,7961.85455134,2999.67555842,12970.3314044,7657.08622387,5470.86681619,1587.32313266,62.6202270225,943.757051891,805.556896202,2229.14651208,5073.31193179,1491.44674216,-253.604354572,49.2018852942,47.2977404326
44,7630.76105638,2946.6467249,12425.9130189,8039.97356935,6032.63739355,1312.28587898,490.099088446,458.157001695,311.26404604,2224.78770776,5239.99300057,1216.40948847,-314.420224111,42.167339797,46.7006293453
45,7692.20103251,2894.07913351,12616.5518944,7570.30533555,6001.11610118,1591.61545372,163.446788728,888.696792222,859.037120813,2343.40463965,5133.20999222,1495.73906322,-345.369324355,41.3387774917,85.9429731418
46,6730.77277595,2956.08694568,12422.7308915,6576.1875351,5634.81804531,1758.5024467,652.86329635,856.732738993,827.877675377,2472.5255485,5749.95903941,1662.6260562,-237.915776802,17.4406725058,63.1563341918
47,6834.52579831,2969.36911861,13046.0197307,7331.97907397,5533.73993751,1553.1855063,244.648375037,909.073993438,663.519322102,1981.59838006,5419.78837014,1457.30911579,-230.72881211,15.8146578613,28.9778197931
