,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf
0,17798.3987451,11367.3478797,4870.08407459,1221.97238279,574.360480259,860.324459697,5901.96265817,2069.77518957,499.182526025,244.800640476,1077.71258991,146.246135977,53.7449770982,744.466228579,3744.95349507,11852.0461107,3766.06521779,2699.42696833,762.280812912,371.271663489,179.791324871,663.967519001,4604.64409057,839.993710678,113.406444771,2192.99901012,72.7852907001,45.765596473,956.97533514,53.2085546753
1,9877.42482954,9710.64617689,4268.9519386,963.354217139,539.200662592,860.324459697,5901.96265817,2296.28904086,816.391655524,313.756711945,770.563338079,146.246135977,54.687704203,772.569490928,3666.54115794,7885.01295424,4155.49427483,2366.34526468,762.280812912,364.140306784,179.791324871,663.967519001,5108.47424104,839.993710678,111.891821252,480.281204394,88.6903786164,45.0146929039,942.689322298,50.619557604
2,16406.728717,6928.55695805,4857.35652123,969.802620214,668.143839285,774.573053508,7925.38056509,2285.8405534,825.344649516,255.145514921,984.232978073,146.246135977,53.7449770982,744.466228579,3988.77147921,14261.9495754,4740.64127131,2692.589514,762.280812912,356.994246251,161.868202143,676.04369372,5085.25160885,842.808136218,97.7844116126,697.774957975,78.1786893781,48.0155498844,928.403309457,36.2386701554
3,12127.1873638,5334.52711102,3771.92466221,872.270523699,1394.82776156,631.654043192,2716.10980822,2191.76517936,174.021923895,520.646882222,917.463782568,161.70686513,57.5158855174,730.414597404,4145.59615347,12278.4329972,4846.79158385,2090.89353322,637.18885783,356.994246251,132.009206735,2498.93532729,4875.91135929,1360.83420787,252.521839542,412.963709402,83.8407983105,59.2699124343,999.816325916,42.5668437403
4,10063.8649286,5571.94695462,4228.15849832,742.930438936,1078.40132518,1088.96060306,1064.55136582,2223.11064174,500.173931009,344.787675968,1127.12206839,177.955024628,52.8022499934,702.328224035,3405.2653327,8732.12672433,4923.89579097,2343.68398748,637.18885783,349.862889546,227.573443008,4708.04246132,4945.66339582,1365.59098343,300.902562537,494.520366709,83.8407983105,60.0198969048,2313.89083884,80.2443315249
5,11262.0741008,4850.52231955,3658.68207199,862.845934588,902.578391602,745.989251445,1275.87195081,2156.91089656,1153.46935022,268.933801765,1020.29409371,175.575799606,50.9158425714,758.517859754,2708.52979873,15748.014786,3960.72693521,2028.18430925,637.18885783,349.862889546,155.900265803,2160.91348043,4798.41844537,852.189554681,160.787992041,455.695197488,54.1867023763,60.0198969048,1471.16951094,54.3587341175
6,8746.30288966,4704.31708498,3177.45001567,1159.1004528,797.075093354,1003.20919687,958.866541098,2167.35938402,500.173931009,258.592586632,934.823499587,129.997976478,53.7449770982,744.466228579,3614.26626651,11535.0859473,2406.17937308,1761.30869907,637.18885783,342.716829014,209.659977134,1243.42957629,4821.64107756,1367.44084059,153.730322238,526.89100906,44.4811439012,57.0190399243,1185.50039736,50.3323771856
7,9165.20804946,5038.88703371,3756.25998114,1158.48041405,703.303656951,1128.9916352,798.376726027,2111.6081263,1111.68871159,313.756711945,1047.00451004,143.87114445,53.7449770982,744.466228579,3431.40277841,14475.1430186,6713.66399591,2082.10252051,637.18885783,342.716829014,235.936279367,1062.34247814,4697.61875929,855.955335332,156.751639311,459.573514067,72.5165804457,60.7698813752,1099.80136806,53.6400541872
8,7408.14663057,4306.46427352,3451.12504783,1155.56623189,668.143839285,1060.37680099,696.617057284,2226.58047526,829.320385831,231.00869432,938.821163127,143.87114445,52.8022499934,702.328224035,5155.8824041,16928.4398391,6280.61296963,1913.0220428,637.18885783,335.585472309,221.605506668,881.255379987,4953.48841319,855.003980221,141.629194015,621.398723535,47.1778432402,65.2716263952,1042.67436444,45.0115217181
9,41101.070875,4259.15487822,6197.66579512,1154.94619313,656.411977438,1031.79299893,583.130985056,2233.5591292,832.304717162,55.1677846246,822.642489136,143.87114445,55.6304313078,688.27659286,5277.79139617,18463.5584083,10160.1164319,3435.5277656,637.18885783,342.716829014,215.627913473,543.233533127,4968.97016798,844.68441991,96.7773059217,375.426645326,132.093482568,73.5242128661,914.117296616,37.3903073662
