,Albany,Goshen,Harrisburg,Jasper,Jefferson,Mehama,Monroe,Salem,Vida,Waterloo,BLU5A,CGR5A,DET5A,DOR5A,FAL5A,FOS_loc,FRN5M,GPR5A,GPR5H,HCR5A,HCR5H,LOP_loc,LOP5E,DEX_loc,BCL_loc,COT5A
0,7.64341019112,-0.146047559595,-5.4884165394,-4.81944291523,-41.451564605,16.6507433213,-6.34343187597,19.8068100737,55.0037098612,1095.74116924,1781.4193827,2861.56790113,1289.57506391,410.38303744,643.819941111,624.97305843,1354.57318265,2595.57001045,244.518370309,1270.44606948,970.472830426,-0.0743682113546,0.0,0.0,0.0,17576.7463471
1,16.840215525,16.5033742342,-15.7184081271,-6.37325237971,-51.1712418227,32.6575352434,47.1792745776,85.8295103192,89.3882582445,1148.94683702,4794.47062303,6674.11002922,2288.52352388,981.784419431,1985.58627856,1214.62822904,2615.72752511,5304.14604794,228.776844323,2497.73075108,993.117196469,-0.146129090996,0.0,0.0,0.0,27829.848383
2,41.968147181,72.0014468803,-27.0947145616,-25.2823234897,55.6022711426,66.9709455133,165.325693268,8.8030266994,166.688424627,356.773561173,7680.85512965,11459.2394349,4085.94389425,2922.55420066,4731.79169109,3242.33565817,3845.74225418,9669.74730291,122.783902687,4728.98684653,4075.98588779,-0.272703194146,0.0,0.0,0.0,55806.1696522
3,59.487973081,114.063144044,33.1736569312,-18.1716700083,123.068265948,37.0732019806,128.454495488,206.871127436,128.110638636,-1076.82359847,3888.9382288,8770.57593865,3232.52337925,1548.91097812,2737.65913012,3287.6346882,4914.86898071,4482.17589339,2201.71476785,3925.80971545,4917.06234083,-0.228793357801,0.0,0.0,0.0,45406.5947301
4,47.5727262473,145.901512035,35.605233879,-25.8090385624,171.666652037,45.8125423978,358.0074365,198.068100737,147.775477072,-1223.13918487,4678.58403687,9116.38474846,3065.96042159,2718.78762304,4660.57267105,3188.59104626,6658.68733079,7379.88833402,3312.01706736,4516.93307127,5661.09151082,-0.263459018074,0.0,0.0,0.0,93449.7014123
5,67.6079931455,187.232971401,75.3788853829,-24.755608417,146.795713274,32.7495283004,310.431697431,294.90139443,124.92956183,-1121.75282904,3069.64701497,6661.14219885,2318.14425604,2466.57304795,4748.8842559,2420.8108762,5485.76189294,5394.55086956,4444.35750326,3454.78761288,5661.09151082,-0.202068207744,0.0,0.0,0.0,80267.1416519
6,21.7122275637,130.566518278,60.6157396282,-21.3319604445,113.63446159,21.0664100584,207.350929446,338.916527927,97.9193278602,-823.209915383,2145.24936253,4806.74245628,1641.16027608,1442.04039545,2620.85993727,1633.83620189,4100.0490969,3773.21176588,4608.06937351,2497.73075108,5661.09151082,-0.146129090996,0.0,0.0,0.0,54194.9679037
7,16.4165623043,94.6388186175,34.0420772697,-17.3025901383,59.8903640327,18.5825975188,149.070649085,321.310474528,95.6058174559,-164.641983077,2447.09349394,4884.54943848,1632.57455661,1208.35005468,2136.57060103,1480.28016788,4437.39490867,3754.17917185,4507.3236072,2356.98709494,5628.74241647,-0.138010808163,0.0,0.0,0.0,48628.9982271
8,28.3494613555,66.5976871753,2.77894508324,-17.6449549355,62.0344104778,29.4377782476,142.727217209,162.855993939,120.880918622,-293.517933923,3926.66874523,7032.88666939,2132.26342958,2037.66577618,3549.55595852,2291.05602746,3980.68057889,5600.34079248,4120.08206795,3066.33512192,5628.74241647,-0.179372570335,0.0,0.0,0.0,62690.3953048
9,42.6830619911,90.9876296276,43.4210169256,-23.1754631989,55.8881440019,26.7699795939,109.820664353,127.643887141,119.145785819,315.686962165,3201.70382247,6475.26996358,1981.58405294,2016.29165964,3398.57163604,2112.16324784,3482.44676458,4999.6245435,4323.6724707,2803.61363044,5466.99694473,-0.164202640369,0.0,0.0,0.0,60786.2477838
